Date,Close_x,Open_x,High_x,Low_x,Volume_x,Change_x,Close_y,Open_y,High_y,Low_y,Volume_y,Change_y
2018-03-21,51060,51780,51780,51060,8330000.0,-0.0027,2484.97,2488.22,2492.88,2483.78,399070000.0,-0.0002
2018-03-22,51780,51060,51780,51040,8279999.999999999,0.0141,2496.02,2494.84,2508.71,2485.34,482140000.0,0.0044
2018-03-23,49720,50340,50720,49600,14660000.0,-0.0398,2416.76,2446.73,2450.4,2412.62,457950000.0,-0.0318
2018-03-26,50280,49420,50280,49040,10040000.0,0.0113,2437.08,2414.68,2437.08,2399.44,306900000.0,0.0084
2018-03-27,49980,50320,50460,49080,11840000.0,-0.006,2452.06,2455.0,2456.55,2444.92,332130000.0,0.0060999999999999995
2018-03-28,48700,49100,49100,48340,15060000.0,-0.0256,2419.29,2425.94,2430.77,2409.47,501310000.0,-0.0134
2018-03-29,49040,48700,49560,48320,9690000.0,0.006999999999999999,2436.37,2421.7,2439.47,2413.71,333360000.0,0.0070999999999999995
2018-03-30,49220,49080,49900,49080,7750000.0,0.0037,2445.85,2454.1,2458.24,2445.72,395330000.0,0.0039000000000000003
2018-04-02,48540,49000,49220,48500,7100000.0,-0.0138,2444.16,2454.72,2467.52,2440.89,390320000.0,-0.0007000000000000001
2018-04-03,48120,47880,48140,47280,12690000.0,-0.0087,2442.43,2422.26,2442.43,2416.44,497140000.0,-0.0007000000000000001
2018-04-04,46920,48160,48260,46920,12310000.0,-0.024900000000000002,2408.06,2447.97,2447.97,2405.91,551700000.0,-0.0141
2018-04-05,48740,47400,49380,47340,13240000.0,0.0388,2437.52,2426.92,2446.78,2420.92,591040000.0,0.012199999999999999
2018-04-06,48400,48000,48580,47400,10950000.0,-0.006999999999999999,2429.58,2420.88,2433.97,2417.24,454310000.0,-0.0033
2018-04-09,49200,48260,49440,48200,9880000.0,0.0165,2444.08,2424.15,2446.28,2424.15,334420000.0,0.006
2018-04-10,48880,48540,49220,48040,10930000.0,-0.006500000000000001,2450.74,2439.94,2454.36,2419.55,356390000.0,0.0027
2018-04-11,48860,49900,49900,48600,10030000.0,-0.0004,2444.22,2456.53,2458.99,2441.2,355190000.0,-0.0027
2018-04-12,49000,49440,49440,48880,12450000.0,0.0029,2442.71,2450.95,2454.95,2441.58,441570000.0,-0.0006
2018-04-13,49800,49600,50180,49400,10260000.0,0.0163,2455.07,2449.42,2457.85,2442.35,395890000.0,0.0051
2018-04-16,50340,50320,50600,49860,7690000.0,0.0108,2457.49,2466.04,2466.16,2449.97,347170000.0,0.001
2018-04-17,49980,50240,50540,49820,7760000.0,-0.0072,2453.77,2459.39,2465.63,2449.08,394700000.0,-0.0015
2018-04-18,51360,51000,51360,50580,13440000.0,0.0276,2479.98,2467.55,2486.73,2467.55,647280000.0,0.010700000000000001
2018-04-19,52780,52000,52980,51540,17130000.0,0.0276,2486.1,2483.26,2490.57,2476.51,727030000.0,0.0025
2018-04-20,51620,51800,52260,51420,11650000.0,-0.022000000000000002,2476.33,2478.59,2485.15,2472.37,531720000.0,-0.0039000000000000003
2018-04-23,51900,51000,52080,51000,8850000.0,0.0054,2474.11,2473.7,2478.57,2466.57,701420000.0,-0.0009
2018-04-24,50460,51840,51860,50080,15700000.0,-0.0277,2464.14,2478.47,2479.32,2454.44,524280000.0,-0.004
2018-04-25,50400,49220,50500,49220,16550000.0,-0.0012,2448.81,2444.19,2453.54,2436.51,466100000.0,-0.0062
2018-04-26,52140,50420,52160,50400,17920000.0,0.0345,2475.64,2460.62,2484.09,2456.2,520919999.99999994,0.011000000000000001
2018-04-27,53000,53380,53640,52440,28280000.0,0.0165,2492.4,2497.75,2508.13,2484.19,464960000.0,0.0068000000000000005
2018-05-04,51900,53000,53900,51800,39420000.0,-0.0208,2461.38,2486.47,2487.77,2461.38,612020.0,-0.0104
2018-05-08,52600,52600,53200,51900,22960000.0,0.013500000000000002,2449.81,2468.45,2479.75,2444.08,714730.0,-0.004699999999999999
2018-05-09,50900,52600,52800,50900,15960000.0,-0.0323,2443.98,2450.71,2451.86,2428.79,593370.0,-0.0024
2018-05-10,51600,51700,51700,50600,13760000.0,0.0138,2464.16,2458.67,2464.72,2448.01,490000000.0,0.0083
2018-05-11,51300,52000,52200,51200,10140000.0,-0.0058,2477.71,2469.3,2483.85,2468.41,599900000.0,0.0055000000000000005
2018-05-14,50100,51000,51100,49900,14840000.0,-0.023399999999999997,2476.11,2482.97,2486.17,2471.91,650710000.0,-0.0006
2018-05-15,49200,50200,50400,49100,17010000.0,-0.018000000000000002,2458.54,2476.87,2480.22,2456.2,712620000.0,-0.0070999999999999995
2018-05-16,49850,49200,50200,49150,15240000.0,0.0132,2459.82,2446.64,2465.55,2444.67,691810000.0,0.0005
2018-05-17,49400,50300,50500,49400,10300000.0,-0.009000000000000001,2448.45,2468.72,2472.82,2448.43,596770000.0,-0.0046
2018-05-18,49500,49900,49900,49350,6640000.0,0.002,2460.65,2459.73,2461.95,2452.34,431380000.0,0.005
2018-05-21,50000,49650,50200,49100,8620000.0,0.0101,2465.57,2464.07,2472.3,2447.69,588090000.0,0.002
2018-05-23,51800,50600,52000,50400,17000000.0,0.036000000000000004,2471.91,2462.98,2476.86,2460.07,752680000.0,0.0026
2018-05-24,51400,52000,52000,51100,8180000.0,-0.0077,2466.01,2477.48,2481.31,2457.84,638120000.0,-0.0024
2018-05-25,52700,51000,52800,50800,15170000.0,0.0253,2460.8,2452.8,2466.57,2444.77,653590000.0,-0.0021
2018-05-28,52300,52500,53000,52000,9750000.0,-0.0076,2478.96,2465.0,2482.4,2463.14,708360000.0,0.0074
2018-05-29,51300,52200,52500,51300,8430000.0,-0.0191,2457.25,2476.7,2479.68,2457.18,571840000.0,-0.0088
2018-05-30,49500,51300,51500,49100,20200000.0,-0.0351,2409.03,2446.81,2449.88,2399.58,575920000.0,-0.0196
2018-05-31,50700,50400,50800,49850,35940000.0,0.0242,2423.01,2428.83,2430.15,2415.5,816930000.0,0.0058
2018-06-01,51300,50500,51700,49950,12440000.0,0.0118,2438.96,2419.63,2445.31,2418.11,603020000.0,0.0066
